inputs,action
Open google browser,browser
open url link directly,url
"click on ""WordPress"" button",click
click browser and open,browser
click and open browser,browser
just open browser,browser
hit and open browser,browser
open any browser of your choise,browser
open browser,browser
now open url link,url
"open url link ""https://www.hostinger.in",url
"click on ""login"" buton",click
"click and open ""New Tab""",click
"click on ""Consumer"" menu",click
press frist link in browser,click
press search button on google homepage,click
search url in google browser,search
enter url in google searchbox,insert
press google searchbox ,click
enter https://www.paytm.com in search box,insert
hover on the menubar,hover
place the mouse on menu,hover
search url in browser,search
open browser,browser
type url in browser ,insert
click enter button,click
click search button,click
open url,url
now open given url  link,url
search offical url in browser,search
click offifical website link,click
enter username,insert
enter password,insert
enter mobile number,insert
"insert ""email"" in the text box",insert
hover on sub menu,hover
search url in google search,search
"select month ""November""",insert
select day date,insert
select gender as well,insert
open url in google browser,url
open url in browser,url
open url in chrome browser,url
"hover on ""login"" button",hover
hover on any button,hover
hover on next elmenet as well,hover
choose the keyword,insert
choose the word ,insert
open browser,browser
Launch the browser,browser
start the browser,browser
Launch the browser instance,browser
Initialize the browser,browser
Fire up the browser,browser
start browser,browser
start a new browser session,browser
begin the browser automation,browser
commence browser interaction,browser
activate the browser,browser
open google chrome,browser
start browser,browser
set the username,insert
input the username,insert
fill the phone number,insert
type the password,insert
populate username field,insert
provide the email address,insert
specify username,insert
enter credentials,insert
assign the password,insert
assign the username,insert
input the phone number,insert
set the email,insert
give email address,insert
fill the password,insert
launch url,url
launch website,url
now click on Login button,insert
click on LOG IN button,click
click on LOGIN button,click
launch given url,url
search given url,insert
launch given url in browser,url
open url in browser,url
type url in browser ,insert
log on to given url,url
launch url,url
launch given url,url
open url, url
open url in browser,url
go back to previous page,previous
back to previous page,previous
come back to last page,previous
go back ,previous
